10.00 	1.154E+02 
15.00 	7.371E+01 
20.00 	5.058E+01 
25.00 	3.630E+01 
30.00 	2.698E+01 
35.00 	2.055E+01 
40.00 	1.597E+01 
45.00 	1.264E+01 
50.00 	1.014E+01 
55.00 	8.241E+00 
60.00 	6.775E+00 
65.00 	5.628E+00 
70.00 	4.709E+00 
75.00 	3.990E+00 
80.00 	3.386E+00 
85.00 	2.899E+00 
90.00 	2.503E+00 
95.00 	2.168E+00 
100.00 	1.890E+00 
105.00 	1.654E+00 
110.00 	1.454E+00 
115.00 	1.284E+00 
120.00 	1.138E+00 
125.00 	1.014E+00 
130.00 	9.044E-01 
135.00 	8.099E-01 
140.00 	7.278E-01 
145.00 	6.554E-01 
150.00 	5.911E-01 
160.00 	4.844E-01 
170.00 	3.996E-01 
180.00 	3.319E-01 
190.00 	2.770E-01 
200.00 	2.317E-01 
210.00 	1.945E-01 
220.00 	1.636E-01 
230.00 	1.382E-01 
240.00 	1.171E-01 
250.00 	9.940E-02 
260.00 	8.475E-02 
270.00 	7.261E-02 
280.00 	6.247E-02 
290.00 	5.404E-02 
300.00 	4.691E-02 
310.00 	4.093E-02 
320.00 	3.586E-02 
330.00 	3.154E-02 
340.00 	2.788E-02 
350.00 	2.478E-02 
360.00 	2.214E-02 
370.00 	1.987E-02 
380.00 	1.788E-02 
390.00 	1.614E-02 
400.00 	1.461E-02 
410.00 	1.327E-02 
420.00 	1.207E-02 
430.00 	1.101E-02 
440.00 	1.006E-02 
450.00 	9.219E-03 
460.00 	8.466E-03 
470.00 	7.786E-03 
480.00 	7.176E-03 
490.00 	6.621E-03 
500.00 	6.122E-03 
550.00 	4.229E-03 
600.00 	3.012E-03 
650.00 	2.200E-03 
700.00 	1.643E-03 
750.00 	1.247E-03 
800.00 	9.603E-04 
850.00 	7.490E-04 
900.00 	5.900E-04 
950.00 	4.690E-04 
1000.00 	3.761E-04 
1050.00 	3.037E-04 
1100.00 	2.470E-04 
1150.00 	2.016E-04 
1200.00 	1.656E-04 
1250.00 	1.368E-04 
1300.00 	1.134E-04 
1350.00 	9.429E-05 
1400.00 	7.874E-05 
1450.00 	6.595E-05 
1500.00 	5.546E-05 
1550.00 	4.667E-05 
1600.00 	3.953E-05 
1650.00 	3.343E-05 
1700.00 	2.836E-05 
1750.00 	2.415E-05 
1800.00 	2.060E-05 
1850.00 	1.762E-05 
1900.00 	1.507E-05 
1950.00 	1.293E-05 
2000.00 	1.111E-05 
